document_id,clean_text,sentiment
59,nisei femal born februari seattl washington spent prewar childhood seattl incarcer puyallup assembl center washington minidoka concentr camp idaho crystal citi intern camp texa postwar year becam teacher princip multicultur specialist washington state superintend offic public instruct develop direct japanes american cultur heritag program rainbow program one first multiethn educ program countri,negative
60,nisei male born honolulu hawaii incarcer jerom concentr camp arkansa resettl gardena california member littl tokyo peopl right organ ltpro nation coalit redressrepar ncrr,negative
61,yaeko nakano born august japan live year old consid nisei rais educ u grew tacoma washington incarcer pinedal assembl center california tule lake concentr camp california tule lake husband marri oldest son kenichi later born hiroshi born stanley born nakano famili almost repatri back japan perman resettl fife washington four member nakano famili reflect incarcer experi impact context tule lake pilgrimag,negative
62,sansei male born middl son yaeko nakano,negative
63,sansei male born tule lake concentr camp california oldest son yaeko nakano,positive
64,sansei male born youngest son yaeko nakano,positive
65,nisei male born august bainbridg island washington part first group japanes american remov incarcer manzanar concentr camp california minidoka concentr camp idaho marri still minidoka return bainbridg island war,positive
66,nisei femal born decemb bainbridg island washington bomb pearl harbor remov famili manzanar concentr camp california later transfer minidoka concentr camp idaho marri minidoka return bainbridg island world war ii,neutral
67,kibei femal born spokan washington went japan age twelv mother sister visit rel gain japanes educ japan world war ii broke remain durat war return unit state soon war end marri japanes american u navi serviceman soon wed sent oversea serv japan eventu settl seattl washington interview focus experi american live japan war,positive
68,nisei femal born februari seattl washington famili own oper orient garden first nurseri lake citi incarcer puyallup assembl center washington minidoka concentr camp idaho awardwin modern dancer establish martha nishitani modern danc school martha nishitani modern danc compani also choreograph modern danc opera theater product well special teach creativ danc child,positive
69,nisei femal born bellingham washington lost unit state citizenship marri issei arrang marriag husband famili establish columbia greenhous one first japanes americanown greenhous busi incarcer puyallup assembl center washington tule lake concentr camp california husband held immigr natur servic in seattl intern depart justic camp fort missoula montana briefli resettl husband emmett idaho spokan washington becom one first famili return seattl resum oper famili greenhous busi,negative
70,nisei femal born juli seattl washington spent prewar childhood japan bellevu washington kirkland washington incarcer pinedal assembl center california tule lake concentr camp california return seattl war obtain master degre univers washington field social work found seattl first altern school program seattl public school cofound separ loss institut one first nisei biraci marriag discus impact incarcer japanes american health cultur ident,neutral
71,nisei femal born tacoma washington move famili seattl age four age six began sing take voic lesson perform stage japanes american commun event incarcer famili puyallup assembl center minidoka concentr camp idaho continu sing includ perform outsid camp arrang camp author rememb fondli freedom parent supervis teenag experienc camp fact famili allow earli releas reloc denver april ran away home briefli return minidoka denver continu music studi join unit servic organ uso group experienc racial prejudic warm welcom uso perform postwar resettl famili lo angel attend lo angel conservatori music univers california lo angel univers southern california continu pursu music hobbi school marriag two child began teach privat piano voic lesson follow divorc began sing nightclub loung,positive
72,nisei male born juli seattl washington rais raymond washington incarcer tule lake concentr camp california heart mountain concentr camp wyom work staff camp newspap tulean dispatch heart mountain sentinel respect resettl seattl war enter greenhous busi own oper greenwood greenhous brother,positive
73,nisei male born fife washington world war ii incarcer puyallup assembl center washington minidoka concentr camp idaho resettl war salt lake citi utah return seattl end world war ii mr sakahara work behalf individu file claim restitut evacu claim act help repeal washington state alien land law mr sakahara longtim member former presid japanes commun servic,positive
74,nisei femal born februari south park washington world war ii incarcer puyallup assembl center washington minidoka concentr camp idaho resettl war salt lake citi utah return seattl end world war ii,positive
75,nisei femal born seattl washington spent prewar year seattl nihonmachi japantown incarcer child puyallup assembl center washington minidoka concentr camp idaho resettl seattl interview discus issu shame loss japanes american ident result incarcer,negative
76,issei male born march yamaguchiken japan immigr unit state live pomeroy washington seattl washington world war ii incarcer puyallup assembl center washington minidoka concentr camp idaho resettl new york member newspap guild led effort elimin pejor use jap newspap strong critic japanes american citizen leagu jacl move seattl activ formul seattl plan redress earli,neutral
77,nisei male born april wapato washington famili farm yakima valley washington war incarcer portland assembl center oregon heart mountain concentr camp wyom serv briefli militari intellig servic mi resettl wapato washington,positive
78,sansei femal mother father born hawaii born februari peru spent prewar childhood peru hawaii father pick fbi detain bomb pearl harbor incarcer jerom concentr camp arkansa tule lake concentr camp california renounc citizenship order stay parent expatri japan regain u citizenship return unit state,negative
79,nisei male born may portland oregon move seattl father parent divorc grew seattl nihonmachi father ran secondhand store disinterest colleg see lack employ opportun graduat japanes american went work great northern railway lay maintain track west coast war onset great northern brought japanes worker togeth segreg gang outsid restrict zone continu work railroad thu avoid incarcer war reloc author camp away father pick fbi sent kooskia intern camp idaho held throughout war draft militari servic return great northern promot rank account depart despit run workplac discrimin,negative
80,white male born septemb sixth gener quaker intern recogn pacifist peac activist forest ecologist marin biologist colleg professor leader mani volunt servic group world war ii leader persuad colleg outsid evacu zone accept japanes american student mani way serv japanes american commun incarcer restart live follow war end war turn attent japan work recoveri effort build home hiroshima age ninetyf creat seattl peac park plan bulldoz plant park memori live lost bomb japan testimoni peac,positive
81,nisei femal novemb seattl washington father establish one largest oyster compani unit state prior world war ii graduat garfield high school univers washington pacif school religion earn master degre religi educ outbreak wwii assist nikkei lost job work wra help famili tri reloc inland mass remov incarcer puyallup assembl center minidoka concentr camp idaho husband serv one camp physician incarcer work student reloc job leav program maintain activ involv young christian woman associ throughout war postwar resettl first spokan later seattl war becam activ myriad organ includ nation pta american associ univers woman leagu woman voter king counti medic societi woman organ,positive
82,nisei femal born petersburg alaska mother father jail petersburg bomb pearl harbor incarcer puyallup assembl center washington minidoka concentr camp idaho resettl seattl washington,positive
83,sansei femal born august bellevu washington rais famili farm bellevu washington prior world war ii incarcer pinedal assembl center california tule lake concentr camp california releas earli harvest sugar beet chinook montana onset world war ii father pick fbi detain immigr natur servic in seattl incarcer depart justic camp fort missoula montana,positive
84,nitengosei half nisei half sansei femal born seattl washington incarcer puyallup assembl center washington minidoka concentr camp idaho tule lake segreg center california return seattl war stay temporarili seattl japanes languag school,neutral
85,nisei male japanes scottish descent born hilo hawaii volunt serv japanes american nd regiment combat team headquart compani second battalion antitank platoon return hawaii follow war attend univers hawaii later work municip govern activ nd veteran club hawaii,neutral
86,nisei male born juli near san jose grew salina california went japan age thirteen studi japan incarcer salina assembl center california poston concentr camp arizona volunt camp serv u militari fought europ battalion runner alljapanes american nd regiment combat team singlehandedli captur group german offic fought famou battl lost battalion present liber bruyer recruit lobbi congress passag civil liberti act repres nikkei veteran prove invalu garner support among particularli resist member congress,neutral
87,nisei femal born decemb portland oregon incarcer portland assembl center oregon minidoka concentr camp idaho resettl first denver colorado later chicago illinoi former wit chair chicago area hear commiss wartim reloc intern civilian cwric former chairperson jacl chicago chapter redress committe,neutral
88,kibei femal born hollywood area lo angel california sent japan live rel thirteen month old return unit state mother twelv year old incarcer sacramento assembl center tule lake concentr camp california resettl sacramento california marri georg tsutakawa renown artist move seattl washington,neutral
89,sansei femal born daughter ayam georg tsutakawa,neutral
90,yonsei male born grandson ayam georg tsutakawa,negative
91,yonsei femal born granddaught ayam georg tsutakawa,negative
92,sansei male born januari worland wyom graduat harvard colleg went earn american histori brandei univers abt american civil brown univers work book publish gambit houghton mifflin random hous macmillan reader digest magazin play integr part japanes american redress movement serv board japanes american nation memori foundat well board governor japanes american nation museum legisl strategi chair legisl educ committe japanes american citizen leagu honorari member compani k nd regiment combat team found editor coauthor almanac american polit publish everi two year sinc nomin nation book award marri ami brook two son steven harvard andrew harvard,neutral
93,nisei femal born seattl washington intern district earli age becam activ japanes baptist church parent own oper dairi plant call white river dairi student baptist missionari train school chicago illinoi took group young woman eyeopen trip japan right war start incarcer famili puyallup assembl center newborn babi move minidoka concentr camp reloc east coast return seattl becam first asian american first woman work rainier heat power compani key properti owner landlord intern district first woman presid japanes american citizen leagu play lead role redress movement,positive
94,nisei femal born juli rais stockton california world war ii remov senior year colleg pacif stockton california incarcer stockton assembl center rohwer concentr camp arkansa resettl famili member philadelphia graduat univers pennsylvania school social work activ volunt jacl coorgan philadelphia chapter member nation jacl redress committe jacl legisl educ committe volunt jacl legisl educ committe octob februari partial compens role execut director jacl legisl educ committe,positive
95,nisei male born novemb yakima washington spent two year childhood japan return seattl becam activ particip japanes american commun life attend univers washington world war ii start avoid incarcer help friend quaker organ hid help enrol anoth univers eventu enter medic school later becam captain u armi serv mash doctor korea train one first kidney machin return seattl help pioneer first kidney dialysi program unit state becam first japanes american chief staff provid hospit seattl establish privat practic faith serv area japanes american commun thirtytwo year help establish develop keiro nurs home oper part nikkei concern,positive
96,nisei femal born august seattl washington spent prewar year burlington washington start colleg incarcer tule lake concentr camp california left camp earli ill marri nisei gi harvey watanab live midwest durat war resettl seattl washington follow war,negative
97,nisei male born februari exet california spent prewar childhood visalia california draft prior world war ii serv activ nation guard unit fort lewi washington world war ii broke nisei serviceman fort lewi sent inland twenti harvey includ went fort hay columbu ohio recruit militari intellig servic train militari intellig languag school camp savag minnesota sent oversea serv alli translat interpret section ati gener macarthur headquart australia manila japan assist negoti surrend japanes troop manila manag dai ichi hotel tokyo headquart staff later serv korean war resettl seattl washington work boe compani,negative
98,nisei male born decemb seattl washington grew near nihonmachi area seattl incarcer puyallup assembl center washington minidoka concentr camp idaho volunt armi camp serv europ nd regiment combat team l compani return seattl war work u custom servic found member nisei veteran committe nvc seattl,positive
99,white male born februari seattl washington copublish wife milli editor newspap bainbridg review world war ii bainbridg review sole newspap west coast continu speak mass remov incarcer japanes american primarili woodward editori also publish weekli articl life camp written variou bainbridg island incarcer manzanar minidoka concentr camp allow japanes american continu voic bainbridg island commun honor newspap peer washington newspap publish associ freedom light award recognit unwav practic first amend,positive
100,nisei male born island kauai hawaii volunt militari servic shortli graduat high school serv nd regiment combat unit mortar platoon world war ii entir asian american segreg fight unit war live u mainland mani year final return hawaii,positive
101,nisei male born octob grew san jose california father farm oper incarcer pomona assembl center heart mountain concentr camp tule lake segreg center work engin crew shoshon dam later carpentri foreman tule lake tule riot imposit draft chose resist draft unlik draft resist exoner charg judg eureka california war conduct walk tour tule lake ground reunion organ tule lake pilgrimag committe,neutral
102,nisei male born seattl washington spent prewar childhood south park belltown area seattl incarcer puyallup assembl center washington minidoka concentr camp idaho refus particip draft imprison mcneil island penitentiari washington resist draft resettl seattl,negative
103,issei femal born hiroshima japan graduat shintoku jikka girl high school marri mr shizuto terao issei return japan temporarili u arrang marriag immigr u live seattl move salt lake citi utah stay cousin spring peopl japanes ancestri remov west coast five year salt lake citi return seattl famili time interview mr terao resid assistedliv apart seattl,positive
104,issei femal born nagano japan marri mr kazuyoshi murayama issei return japan temporarili arrang marriag immigr u august work wealthi famili north dakota settl seattl went back japan return seattl own groceri store husband outsid seattl nihonmachi went back japan return seattl join daughter live seattl sinc receiv u citizenship age time interview mr murayama resid keiro nurs home,neutral
105,issei femal born shimonoseki japan attend school japan encourag father studi english marri buddhist minist immigr unit state live fresno california return japan two year move seattl washington husband minist seattl buddhist templ world war ii husband arrest imprison crystal citi depart justic camp texa mr ichikawa seven child remov puyallup assembl center washington minidoka concentr camp idaho join husband crystal citi return run seattl buddhist templ,negative
106,sansei femal born lo angel california grew gardena california surround larg japanes american commun influenc father role commun polit mother emphasi educ attend univers california santa barbara becam increasingli awar japanes american histori issu ethnic ident racial inequ attend univers san francisco school law hone commit polit social activ year law school join team lawyer work reopen suprem court decis korematsu v unit state convict violat exclus order world war ii mr korematsu case went way suprem court exclus incarcer japanes american upheld constitut base govern argument militari necess petit writ error coram nobi establish case premis error fact withheld judg defens prosecut legal team reopen case provid evid factual underpin exclus order fraudul success korematsu convict vacat well hand similar convict interview m bannai discus coram nobi legal team support effort among japanes american commun person lesson gain part effort,positive
107,nisei male born decemb star lake washington grew renton area later fife washington immigr father began threegener greenhous busi fife follow execut order mizukami famili remov puyallup assembl center washington nicknam camp harmoni later transport minidoka concentr camp idaho serv nd regiment combat team earn purpl heart reloc fife washington marri return familyown greenhous busi serv fife citi council mayor fife seven year receiv order sacr treasur japanes govern,neutral
108,nisei male born juli seattl washington grew thomasauburn area washington follow execut order famili remov pinedal assembl center tule lake concentr camp california later transfer minidoka concentr camp idaho volunt replac thnd regiment combat team train thirteen week light machin gunner replac camp shelbi mississippi serv co l th bnnd combat team southern franc northern itali rifleman st scout graduat univers washington graduat st loui school medicin internship resid pierc counti hospit tacoma wa famili practic medicin sumner wa serv presid puyallup valley jacl term serv vice presid nation jacl draft board member eastern pierc counti presid pierc counti medic societi sumner rotari club presid,positive
109,male italian irish descent born baltimor maryland grew countrysid outsid baltimor parent younger sister matern grandmoth rais cathol attend public school graduat age seventeen began work baltimor news post draft call serv one year u arm forc join armi age twentyon well awar hitler aggress europ fairli certain u would join war effort stop went basic train month away discharg time bomb pearl harbor mr frisino share memori day pearl harbor bomb person reaction bomb went train radio oper met marri wife harriett went rigor offic candid school ship oversea fight year jungl burma commun suppli offic return home wife seattl washington began career seattl postintelligenc work year interview mr frisino share memori life well perspect issu race ethnic,neutral
110,issei femal born march fukui prefectur japan graduat jinai girl school grandfath death came seattl washington join father uncl work familyrun agricultur greenhous arrang marriag mr roy naoe kurosu issei work tacoma sawmil start new greenhous sunnydal washington peopl japanes ancestri remov west coast return work sunnydal greenhous retir age gain u citizenship along husband adopt first name marian mother seven child includ son born heart mountain concentr camp wyom time interview mr kurosu resid home seattl washington,negative
111,nisei male born june compton california rais farm lawndal california follow bomb pearl harbor father pick fbi detain depart justic doj intern camp lordsburg new mexico famili voluntarili move visalia california forcibl move poston concentr camp arizona sent tule lake concentr camp california result answer nono socal loyalti question renounc u citizenship protest incarcer transfer doj santa fe intern camp immigr natur servic in camp crystal citi texa releas crystal citi resettl california mr nishimura regain u citizenship,neutral
112,nisei femal born novemb seattl washington famili live leavenworth washington move west coast outbreak world war ii famili remov bellingham washington tule lake concentr camp california transfer heart mountain concentr camp wyom leav resettl spokan washington,negative
113,white male born karuizawa japan missionari parent attend canadian school kobe japan come unit state older brother attend univers chicago school social work volunt work war reloc author wra later work reloc offic concentr camp poston arizona tule lake california mr old induct armi,positive
